0.000,"Info","2023-08-18 10:21:50","Service 'ymaze_inLT' : Execution start"
0.000,"Info","Apparatus","139"
0.000,"Info","Unit ID","3A843F"
"TIME","","","ARENA","ACTION","ZONE"
30.839,"Info","Arena",4,"Enter_Zone",2
30.839,"Info","Arena",7,"Enter_Zone",1
30.872,"Info","Arena",1,"Enter_Zone",2
30.872,"Info","Arena",2,"Enter_Zone",3
30.872,"Info","Arena",3,"Enter_Zone",1
30.872,"Info","Arena",5,"Enter_Zone",3
30.872,"Info","Arena",6,"Enter_Zone",2
30.906,"Info","Arena",4,"Exit_Zone",2
30.906,"Info","Arena",4,"Enter_Zone",1
30.939,"Info","Arena",4,"Exit_Zone",1
30.939,"Info","Arena",4,"Enter_Zone",2
30.972,"Info","Arena",4,"Exit_Zone",2
30.972,"Info","Arena",4,"Enter_Zone",3
31.006,"Info","Arena",8,"Enter_Zone",1
31.039,"Info","Arena",5,"Exit_Zone",3
31.039,"Info","Arena",5,"Enter_Zone",4
31.072,"Info","Arena",4,"Exit_Zone",3
31.072,"Info","Arena",4,"Enter_Zone",2
31.072,"Info","Arena",5,"Exit_Zone",4
31.072,"Info","Arena",5,"Enter_Zone",3
31.139,"Info","Arena",4,"Exit_Zone",2
31.139,"Info","Arena",4,"Enter_Zone",3
31.139,"Info","Arena",5,"Exit_Zone",3
31.139,"Info","Arena",5,"Enter_Zone",1
31.172,"Info","Arena",2,"Exit_Zone",3
31.172,"Info","Arena",2,"Enter_Zone",1
31.172,"Info","Arena",5,"Exit_Zone",1
31.172,"Info","Arena",5,"Enter_Zone",3
31.205,"Info","Arena",2,"Exit_Zone",1
31.205,"Info","Arena",2,"Enter_Zone",2
31.205,"Info","Arena",4,"Exit_Zone",3
31.205,"Info","Arena",4,"Enter_Zone",4
31.239,"Info","Arena",7,"Exit_Zone",1
31.239,"Info","Arena",7,"Enter_Zone",4
31.272,"Info","Arena",4,"Exit_Zone",4
31.272,"Info","Arena",4,"Enter_Zone",3
31.272,"Info","Arena",5,"Exit_Zone",3
31.272,"Info","Arena",5,"Enter_Zone",1
31.272,"Info","Arena",7,"Exit_Zone",4
31.272,"Info","Arena",7,"Enter_Zone",1
31.306,"Info","Arena",2,"Exit_Zone",2
31.306,"Info","Arena",2,"Enter_Zone",3
31.306,"Info","Arena",5,"Exit_Zone",1
31.306,"Info","Arena",5,"Enter_Zone",3
31.339,"Info","Arena",4,"Exit_Zone",3
31.339,"Info","Arena",4,"Enter_Zone",2
31.339,"Info","Arena",5,"Exit_Zone",3
31.339,"Info","Arena",5,"Enter_Zone",1
31.372,"Info","Arena",4,"Exit_Zone",2
31.372,"Info","Arena",4,"Enter_Zone",3
31.372,"Info","Arena",5,"Exit_Zone",1
31.372,"Info","Arena",5,"Enter_Zone",3
31.405,"Info","Arena",4,"Exit_Zone",3
31.405,"Info","Arena",4,"Enter_Zone",2
31.439,"Info","Arena",4,"Exit_Zone",2
31.439,"Info","Arena",4,"Enter_Zone",4
31.439,"Info","Arena",7,"Exit_Zone",1
31.439,"Info","Arena",7,"Enter_Zone",3
31.472,"Info","Arena",2,"Exit_Zone",3
31.472,"Info","Arena",2,"Enter_Zone",1
31.472,"Info","Arena",4,"Exit_Zone",4
